Point,Latitude,Longitude,Bearings,Speed,Date Time
,,,,,
1,50.462346,-3.548562,214,0.5625,2014-10-07T16:16:27
2,50.462293,-3.548603,199,0.6875,2014-10-07T16:27:29
3,50.462287,-3.548604,187,0.1875,2014-10-07T16:27:30
4,50.462286,-3.548596,208,0.125,2014-10-07T16:27:57
5,50.462317,-3.548575,185,0.6875,2014-10-07T16:27:58
6,50.462298,-3.548496,96,0,2014-10-07T16:28:07
7,50.462298,-3.548496,100,0.125,2014-10-07T16:28:08
8,50.462298,-3.548496,100,0.125,2014-10-07T16:28:09
9,50.462308,-3.548488,87,0.5625,2014-10-07T16:28:09
10,50.462336,-3.548455,26,0.625,2014-10-07T16:28:15
11,50.46234,-3.548457,24,0.125,2014-10-07T16:28:16
12,50.46235,-3.548457,15,0.8125,2014-10-07T16:28:17
13,50.462432,-3.548404,4,0.375,2014-10-07T16:28:28
14,50.462437,-3.548399,5,0.5625,2014-10-07T16:28:29
15,50.462439,-3.548368,33,0.4375,2014-10-07T16:28:33
16,50.46244,-3.548369,34,0.1875,2014-10-07T16:28:34
17,50.462443,-3.548365,36,0.3125,2014-10-07T16:28:35
18,50.462446,-3.548363,37,0.3125,2014-10-07T16:28:36
19,50.462446,-3.548363,35,0.125,2014-10-07T16:28:37
20,50.462446,-3.548363,33,0.0625,2014-10-07T16:28:39
21,50.462434,-3.548409,33,0.4375,2014-10-07T16:28:40
22,50.462434,-3.548409,33,0.4375,2014-10-07T16:30:05
